"month","zone","HDH","proportion"
1,1,36619.4,0.176389863630386
2,1,32516.7,0.156627805991092
3,1,26556.3,0.12791750098384
4,1,18197.9,0.0876564088805226
5,1,10123.6,0.0487637815870435
6,1,3710.4,0.0178724105259558
7,1,1335.5,0.00643289247989811
8,1,2030.9,0.00978252440091732
9,1,5505.6,0.0265196052694325
10,1,14793.5,0.071257952004023
11,1,23119.5,0.11136297842681
12,1,33095.6,0.159416275820079
1,2,37325.7,0.180370892622256
2,2,33046.4,0.159691811967414
3,2,26632.5,0.128697594358906
4,2,17258.5,0.083399133849364
5,2,8009.1,0.0387027843041366
6,2,2591.2,0.0125215885291579
7,2,1231.9,0.00595297349068758
8,2,2146.9,0.0103745748738998
9,2,5702.1,0.0275545499969556
10,2,15298.3,0.073926758951689
11,2,23965.1,0.115807780665376
12,2,33730.9,0.162999556390156
1,4,37863.7,0.185024814162544
2,4,33242.1,0.162440896554555
3,4,25882.4,0.126476975310934
4,4,16451.6,0.0803924136488644
5,4,7709.8,0.0376747204375268
6,4,2490.1,0.0121681264574289
7,4,1117.1,0.00545882256358934
8,4,2024.2,0.00989145880692646
9,4,5353.6,0.0261609099242968
10,4,14757,0.0721115787045815
11,4,23741.7,0.116016227426344
12,4,34007.9,0.166183056002408
1,5,36266.6,0.190118768531372
2,5,31855.5,0.16699465709361
3,5,24778.4,0.129894693579705
4,5,15228.9,0.0798337785755325
5,5,6537.5,0.0342712426660851
6,5,1545.1,0.00809980834315382
7,5,494,0.00258967401560934
8,5,1121.9,0.00588128598808121
9,5,4366.4,0.0228897826351348
10,5,13633.1,0.0714681878991977
11,5,22485.1,0.117872629976473
12,5,32445.1,0.170085490696046
1,6,33430.9,0.189662400937677
2,6,29872.7,0.169475784513458
3,6,23898.1,0.135580287214784
4,6,14885.1,0.0844471373548849
5,6,6314.4,0.0358232732137295
6,6,1281,0.00726745422950518
7,6,236.2,0.00134002551835217
8,6,846.8,0.0048041219684192
9,6,3719.3,0.0211005796376258
10,6,11914.7,0.0675952669073266
11,6,20252.5,0.114897827309175
12,6,29613.6,0.168005841195062
1,7,36277.4,0.195774782422395
2,7,31663.9,0.170877547264812
3,7,24144.9,0.130300477545538
4,7,14235.7,0.0768244435965779
5,7,5705,0.0307876290395609
6,7,1145.6,0.00618235018890814
7,7,224.4,0.00121099806423794
8,7,720.3,0.00388717426769425
9,7,3643.9,0.0196646873719993
10,7,12961.5,0.0699480900606956
11,7,22060.2,0.119050176010258
12,7,32518.9,0.175491644167323
1,8,35311.1,0.192123142146565
2,8,30990.3,0.1686142264632
3,8,23989.6,0.130524320421602
4,8,14608.4,0.0794824208176432
5,8,6096.6,0.0331708145147206
6,8,1381.3,0.00751547519751722
7,8,358,0.00194783184008627
8,8,924.9,0.00503226164496031
9,8,3973.4,0.0216187570765329
10,8,12952.8,0.0704745146879035
11,8,21744.2,0.118307388539676
12,8,31463.5,0.171188846649593
1,9,32869.8,0.202203023651808
2,9,28504.5,0.175349289855215
3,9,20977.3,0.129044700243113
4,9,11761.1,0.0723499985236075
5,9,4611.3,0.0283670360928749
6,9,809.8,0.00498159430703058
7,9,95.6,0.000588096339530901
8,9,454.4,0.002795303103377
9,9,3106.2,0.0191082097264737
10,9,10897.4,0.067036831071172
11,9,19544.1,0.12022817645843
12,9,28926.9,0.177947740627368
1,10,32828.9,0.198710006228433
2,10,28796.8,0.174304113368372
3,10,22030.9,0.133350806034256
4,10,12943.7,0.0783469049410417
5,10,4990.7,0.0302082015566845
6,10,649.2,0.00392954183793848
7,10,36.6,0.000221536092527031
8,10,314.6,0.00190424193194
9,10,2892.8,0.0175098253678195
10,10,10995.9,0.0665570688474857
11,10,19770.4,0.119668228516295
12,10,28959.6,0.175289525277208
1,11,30205.1,0.195540993879694
2,11,26645.4,0.172496300238105
3,11,21354.9,0.138246798395022
4,11,13906.8,0.090029481567223
5,11,6401.7,0.0414431596160793
6,11,787.3,0.00509680234402412
7,11,0,0
8,11,1.59999999999999,1.03580385500299e-05
9,11,1563.8,0.0101236879278355
10,11,9342.1,0.0604786449613969
11,11,17896.8,0.11585984020136
12,11,26363.9,0.17067393283071
