"","OBJECTID","FIPS","COUNTY","STATE","POP2020","SQMI","Shape__Area","Shape__Length","county_fips","zip","zip_54301","zip_54601","zip_54901"
"1",83844,55141011700,"Wood County","WI",4740,10.03,50755714.07,40683.07303,55141,54410,FALSE,TRUE,FALSE
"18",83964,55139003704,"Winnebago County","WI",NA,15.64,78631639.58,41204.66926,55139,54901,FALSE,TRUE,FALSE
"63",83956,55137960202,"Waushara County","WI",NA,73.85,371106865.6,99426.83645,55137,54930,FALSE,TRUE,FALSE
"71",83784,55135101200,"Waupaca County","WI",3974,76.45,388142340.1,119824.4984,55135,54929,FALSE,TRUE,FALSE
"83",83954,55133204504,"Waukesha County","WI",NA,4.15,20172059.5,26821.38021,55133,53005,TRUE,FALSE,FALSE
"181",83930,55131450108,"Washington County","WI",NA,14.03,68627299.47,33159.80695,55131,53002,TRUE,FALSE,FALSE
"211",83926,55129950502,"Washburn County","WI",NA,107.65,572127344,144031.579,55129,54801,FALSE,FALSE,TRUE
"217",83924,55127001608,"Walworth County","WI",NA,5.4,25761952.68,25726.80936,55127,53114,TRUE,FALSE,FALSE
"246",83910,55125950602,"Vilas County","WI",NA,228.1,1229436973,228608.5912,55125,54512,FALSE,TRUE,FALSE
"254",83651,55123960700,"Vernon County","WI",4128,128.01,631890908.3,147289.4261,55123,54621,FALSE,FALSE,TRUE
"261",83644,55121100800,"Trempealeau County","WI",3814,81.36,409061315.2,106408.0234,55121,54612,FALSE,FALSE,TRUE
"269",83636,55119960600,"Taylor County","WI",3402,105.93,550186809.1,108129.1075,55119,54433,FALSE,TRUE,FALSE
"275",83880,55109120906,"St. Croix County","WI",NA,26.81,138383486,50626.49366,55109,54002,TRUE,FALSE,FALSE
"293",83904,55117011302,"Sheboygan County","WI",NA,30.15,148899000.2,51407.04478,55117,53001,TRUE,FALSE,FALSE
"321",83606,55115101100,"Shawano County","WI",3961,140.27,717813951.7,136651.3423,55115,54414,FALSE,TRUE,FALSE
"332",83900,55113940002,"Sawyer County","WI",NA,24.67,131943959.9,84490.4083,55113,54828,FALSE,FALSE,TRUE
"340",83896,55111001005,"Sauk County","WI",NA,0.82,4046941.773,14437.91724,55111,53561,TRUE,FALSE,FALSE
"364",83573,55107960500,"Rusk County","WI",3816,7.12,37474662.22,32317.02691,55107,54731,FALSE,FALSE,TRUE
"369",83872,55105003102,"Rock County","WI",NA,20.82,100227080.1,58033.58163,55105,53501,TRUE,FALSE,FALSE
"410",83533,55103970500,"Richland County","WI",4126,157.89,771010144.8,169120.1364,55103,53518,TRUE,FALSE,FALSE
"415",83866,55101002900,"Racine County","WI",NA,0.74,3552210.445,13416.56219,55101,53105,TRUE,FALSE,FALSE
"461",83489,55099970700,"Price County","WI",2484,257.47,1356358005,181600.5401,55099,54459,FALSE,TRUE,FALSE
"467",83859,55097961102,"Portage County","WI",NA,4.53,23073342.05,23711.71374,55097,54406,FALSE,TRUE,FALSE
"482",83857,55095960902,"Polk County","WI",NA,53.79,281084533.8,97902.58718,55095,54001,TRUE,FALSE,FALSE
"496",83411,55093960800,"Pierce County","WI",3830,179.05,916235348,168858.2876,55093,54003,TRUE,FALSE,FALSE
"504",83403,55091950200,"Pepin County","WI",3529,155.58,793549440.8,160034.2435,55091,54721,FALSE,FALSE,TRUE
"506",83462,55089650104,"Ozaukee County","WI",NA,2.14,10485878.93,13252.86924,55089,53004,TRUE,FALSE,FALSE
"527",83456,55087012904,"Outagamie County","WI",NA,24.48,124064705,54203.22622,55087,54911,FALSE,TRUE,FALSE
"574",83442,55085970604,"Oneida County","WI",NA,121.6,648296266.5,129563.5021,55085,54463,FALSE,TRUE,FALSE
"590",83438,55083101302,"Oconto County","WI",NA,81.82,420395793.1,129999.4062,55083,54101,TRUE,FALSE,FALSE
"601",83332,55081950900,"Monroe County","WI",5682,150.47,748753994.1,119489.0086,55081,54619,FALSE,FALSE,TRUE
"610",83436,55079160302,"Milwaukee County","WI",NA,5.2,25083082.77,22919.8831,55079,53110,TRUE,FALSE,FALSE
"911",83428,55078940104,"Menominee County","WI",NA,17.39,89725001.11,48663.64884,55078,54135,TRUE,FALSE,FALSE
"914",83029,55077960500,"Marquette County","WI",3806,68.69,341749076.2,92265.05074,55077,53920,TRUE,FALSE,FALSE
"919",83024,55075961500,"Marinette County","WI",3788,2.35,12183213.25,40185.44051,55075,54102,TRUE,FALSE,FALSE
"931",83426,55073002302,"Marathon County","WI",NA,135.13,700765315.6,136287.198,55073,54401,FALSE,TRUE,FALSE
"963",82990,55071010700,"Manitowoc County","WI",4158,9.28,46331029.69,29276.77488,55071,53015,TRUE,FALSE,FALSE
"982",82971,55069961000,"Lincoln County","WI",3556,5.45,28380847.24,29174.12492,55069,54435,FALSE,TRUE,FALSE
"992",82967,55067960102,"Langlade County","WI",NA,164.77,864885000.1,128349.0824,55067,54409,FALSE,TRUE,FALSE
"999",82864,55065970500,"Lafayette County","WI",3256,201.59,963835185.8,153128.5588,55065,53504,TRUE,FALSE,FALSE
"1004",82965,55063010404,"La Crosse County","WI",NA,1.82,9088993.738,18129.5834,55063,54601,FALSE,FALSE,TRUE
"1032",82959,55061960402,"Kewaunee County","WI",NA,67.32,343952301.8,95634.4222,55061,54201,TRUE,FALSE,FALSE
"1037",82957,55059002802,"Kenosha County","WI",NA,71.6,342741871.9,79542.12483,55059,53104,TRUE,FALSE,FALSE
"1079",82943,55057100302,"Juneau County","WI",NA,39,194909349.6,88507.6279,55057,53929,TRUE,FALSE,FALSE
"1087",82941,55055100302,"Jefferson County","WI",NA,1.32,6420917.043,13284.31723,55055,53036,TRUE,FALSE,FALSE
"1108",82781,55053960500,"Jackson County","WI",4605,11.46,57961701.62,53888.96063,55053,54611,FALSE,FALSE,TRUE
"1113",82776,55051180300,"Iron County","WI",1976,372.72,2010155835,227397.8409,55051,54525,FALSE,TRUE,FALSE
"1116",82773,55049950600,"Iowa County","WI",3491,60.78,293152124.5,81061.72197,55049,53503,TRUE,FALSE,FALSE
"1122",82767,55047100600,"Green Lake County","WI",3991,108.74,539116879.3,115896.3378,55047,53926,TRUE,FALSE,FALSE
"1128",82761,55045960800,"Green County","WI",4179,25.94,123944312.7,58117.25805,55045,53502,TRUE,FALSE,FALSE
"1136",82753,55043961200,"Grant County","WI",4371,64.74,309123017.8,76347.68912,55043,53554,TRUE,FALSE,FALSE
"1148",82741,55041950400,"Forest County","WI",2643,117.93,621776138.6,138398.0898,55041,54511,FALSE,TRUE,FALSE
"1152",82939,55039042002,"Fond du Lac County","WI",NA,37.01,184275055.7,57317.08125,55039,53010,TRUE,FALSE,FALSE
"1175",82933,55037190102,"Florence County","WI",NA,71.47,381876170,132186.6404,55037,54120,TRUE,FALSE,FALSE
"1178",82931,55035001402,"Eau Claire County","WI",NA,1.15,5901481.273,12362.69767,55035,54701,FALSE,FALSE,TRUE
"1200",82927,55033970802,"Dunn County","WI",NA,3.77,19440941.82,24604.67422,55033,54725,FALSE,FALSE,TRUE
"1209",82925,55031030302,"Douglas County","WI",NA,259.11,1406253491,173464.3975,55031,54820,FALSE,FALSE,TRUE
"1223",82684,55029101000,"Door County","WI",2289,54.38,279483891.4,123755.6368,55029,54202,TRUE,FALSE,FALSE
"1232",82675,55027962000,"Dodge County","WI",2440,0.6,2948912.426,10059.50297,55027,53003,TRUE,FALSE,FALSE
"1252",82921,55025013202,"Dane County","WI",NA,24.52,119692567,71785.62151,55025,53508,TRUE,FALSE,FALSE
"1377",82565,55023960600,"Crawford County","WI",3788,11.29,54766765.78,45328.73237,55023,54626,FALSE,FALSE,TRUE
"1383",82886,55021970402,"Columbia County","WI",NA,6.68,32916542.75,43934.44422,55021,53555,TRUE,FALSE,FALSE
"1396",82548,55019950800,"Clark County","WI",3083,309.8,1581718109,221559.0423,55019,54405,FALSE,TRUE,FALSE
"1404",82884,55017011002,"Chippewa County","WI",NA,102.48,532093589.9,121191.7482,55017,54724,FALSE,FALSE,TRUE
"1416",82530,55015020800,"Calumet County","WI",6265,3.19,16110534.23,20173.14917,55015,53014,TRUE,FALSE,FALSE
"1427",82519,55013971000,"Burnett County","WI",1870,129,684875917.5,140123.2049,55013,54830,FALSE,FALSE,TRUE
"1433",82513,55011960500,"Buffalo County","WI",3245,185.13,933289795.3,201196.4471,55011,54610,FALSE,FALSE,TRUE
"1438",82882,55009980000,"Brown County","WI",NA,0.08,425441.6133,2855.762489,55009,54115,TRUE,FALSE,FALSE
"1496",82466,55007960402,"Bayfield County","WI",NA,323.32,1763837514,211008.9045,55007,54814,FALSE,FALSE,TRUE
"1502",82464,55005001004,"Barron County","WI",NA,64.08,335680483.5,124484.8448,55005,54728,FALSE,FALSE,TRUE
"1514",82350,55003950800,"Ashland County","WI",3166,86.35,478657310.3,420306.2355,55003,54806,FALSE,FALSE,TRUE
"1521",82460,55001950204,"Adams County","WI",NA,155.48,780334988.1,189915.7388,55001,53910,TRUE,FALSE,FALSE
