"Month","Utility.Code","price"
1,3270,0.706078172689077
1,4220,0.806776145206985
1,5820,0.711035994607357
1,6650,0.723232398644754
1,6670,0.594998333571577
1,6680,0.703088327796365
1,6690,0.509434841228304
2,3270,0.709277352258405
2,4220,0.779833651229743
2,5820,0.75355415805308
2,6650,0.74954336565046
2,6670,0.623004024830158
2,6680,0.700091941429579
2,6690,0.517741983423379
3,3270,0.864605352170713
3,4220,0.861791392166166
3,5820,0.920981188366202
3,6650,0.756101792894111
3,6670,0.636425627916658
3,6680,0.737711411447957
3,6690,0.639070492600738
4,3270,0.92266634095935
4,4220,1.12274810639197
4,5820,1.05705750550464
4,6650,0.879820656190933
4,6670,0.994367338318958
4,6680,0.661962992383226
4,6690,0.787855274780085
5,3270,1.31651011332518
5,4220,1.26870582645039
5,5820,1.03499754374945
5,6650,1.01711794150666
5,6670,1.07161793067455
5,6680,0.924779667657295
5,6690,0.953265271877068
6,3270,1.97007068845275
6,4220,1.68108722688488
6,5820,1.16517664507827
6,6650,1.2322909813309
6,6670,1.35044179595614
6,6680,1.05271388406468
6,6690,1.46458816448451
7,3270,2.16277911832947
7,4220,1.97623997623998
7,5820,0.825587843833185
7,6650,1.08867737208906
7,6670,1.01629662945976
7,6680,2.27733139762876
7,6690,1.61952970438218
8,3270,1.83974882374816
8,4220,1.90679797539383
8,5820,1.09267719618849
8,6650,1.19345211241679
8,6670,1.07449902287788
8,6680,1.51264202944272
8,6690,1.63021645372264
9,3270,1.79832479275691
9,4220,1.58808142235863
9,5820,1.19245999583169
9,6650,1.07310262080011
9,6670,1.02465926877598
9,6680,1.14299940336957
9,6690,1.37741492070128
10,3270,0.861067422547963
10,4220,0.86226458949322
10,5820,0.916924548587407
10,6650,0.694328034795662
10,6670,0.605153024666406
10,6680,0.6411023555867
10,6690,0.685533625770422
11,3270,0.808218330168746
11,4220,0.863927284544069
11,5820,0.757888735252393
11,6650,0.753599860422048
11,6670,0.665187185381257
11,6680,0.693308556494586
11,6690,0.620563108264848
12,3270,0.725271706967627
12,4220,0.832966252599774
12,5820,0.750325172082992
12,6650,0.721703001637742
12,6670,0.603802533242779
12,6680,0.687279373160612
12,6690,0.58308548931273
